model,condition,source,metric,value,n,n_total,n_non_unknown
gpt-4.1-mini,baseline,RTP,refusal_rate,0.034,2000,2000,
gpt-4.1-mini,baseline,RTP,safe_and_useful_rate,0.9215,2000,2000,
gpt-4.1-mini,baseline,StereoSet,choice_parse_rate,0.999,1000,1000,
gpt-4.1-mini,baseline,StereoSet,choice_refusal_rate,0.001,1000,1000,
gpt-4.1-mini,baseline,StereoSet,choice_LMS,96.7,1000,1000,
gpt-4.1-mini,baseline,StereoSet,choice_SS,61.94415718717684,1000,1000,
gpt-4.1-mini,baseline,StereoSet,adapted_choice_ICAT,73.6,1000,1000,
gpt-4.1-mini,safety,AdvGLUE,choice_parse_rate,1.0,738,738,
gpt-4.1-mini,safety,AdvGLUE,choice_refusal_rate,0.0,738,738,
gpt-4.1-mini,safety,AdvGLUE,adversarial_accuracy,0.7330623306233063,738,738,
gpt-4.1-mini,safety,AdvGLUE,accuracy_mnli,0.7851239669421488,121,121,
gpt-4.1-mini,safety,AdvGLUE,accuracy_mnli-mm,0.5925925925925926,162,162,
gpt-4.1-mini,safety,AdvGLUE,accuracy_qnli,0.7567567567567568,148,148,
gpt-4.1-mini,safety,AdvGLUE,accuracy_qqp,0.7948717948717948,78,78,
gpt-4.1-mini,safety,AdvGLUE,accuracy_rte,0.9012345679012346,81,81,
gpt-4.1-mini,safety,AdvGLUE,accuracy_sst2,0.6959459459459459,148,148,
gpt-4.1-mini,safety,BBQ,choice_parse_rate,1.0,2000,2000,
gpt-4.1-mini,safety,BBQ,choice_refusal_rate,0.0,2000,2000,
gpt-4.1-mini,safety,BBQ,accuracy_ambig,0.992,1000,1000,
gpt-4.1-mini,safety,BBQ,bias_score_ambig,0.0020000000000000018,1000,1000,8.0
gpt-4.1-mini,safety,BBQ,accuracy_disambig,0.855,1000,1000,
gpt-4.1-mini,safety,BBQ,bias_score_disambig,0.021914648212226107,1000,1000,867.0
gpt-4.1-mini,safety,BOLD,mean_negative_regard,0.14986151942698053,2000,2000,
gpt-4.1-mini,safety,BOLD,negative_regard_group_range,0.5873141545744147,43,43,
gpt-4.1-mini,safety,BOLD,refusal_rate,0.0,2000,2000,
gpt-4.1-mini,safety,RTP,mean_toxicity,0.05036174091986318,2000,2000,
gpt-4.1-mini,safety,RTP,toxicity_rate,0.045,2000,2000,
gpt-4.1-mini,safety,RTP,refusal_rate,0.017,2000,2000,
gpt-4.1-mini,safety,RTP,safe_and_useful_rate,0.938,2000,2000,
gpt-4.1-mini,safety,StereoSet,choice_parse_rate,1.0,1000,1000,
gpt-4.1-mini,safety,StereoSet,choice_refusal_rate,0.0,1000,1000,
gpt-4.1-mini,safety,StereoSet,choice_LMS,82.5,1000,1000,
gpt-4.1-mini,safety,StereoSet,choice_SS,59.75757575757575,1000,1000,
gpt-4.1-mini,safety,StereoSet,adapted_choice_ICAT,66.4,1000,1000,
llama3.1:8b,baseline,AdvGLUE,choice_parse_rate,1.0,738,738,
llama3.1:8b,baseline,AdvGLUE,choice_refusal_rate,0.0,738,738,
llama3.1:8b,baseline,AdvGLUE,adversarial_accuracy,0.5460704607046071,738,738,
llama3.1:8b,baseline,AdvGLUE,accuracy_mnli,0.4628099173553719,121,121,
llama3.1:8b,baseline,AdvGLUE,accuracy_mnli-mm,0.38271604938271603,162,162,
llama3.1:8b,baseline,AdvGLUE,accuracy_qnli,0.6013513513513513,148,148,
llama3.1:8b,baseline,AdvGLUE,accuracy_qqp,0.5,78,78,
llama3.1:8b,baseline,AdvGLUE,accuracy_rte,0.6296296296296297,81,81,
llama3.1:8b,baseline,AdvGLUE,accuracy_sst2,0.7162162162162162,148,148,
llama3.1:8b,baseline,BBQ,choice_parse_rate,1.0,2000,2000,
llama3.1:8b,baseline,BBQ,choice_refusal_rate,0.0,2000,2000,
llama3.1:8b,baseline,BBQ,accuracy_ambig,0.295,1000,1000,
llama3.1:8b,baseline,BBQ,bias_score_ambig,0.10899999999999993,1000,1000,705.0
llama3.1:8b,baseline,BBQ,accuracy_disambig,0.832,1000,1000,
llama3.1:8b,baseline,BBQ,bias_score_disambig,0.028511087645195277,1000,1000,947.0
llama3.1:8b,baseline,BOLD,mean_negative_regard,0.23337437493834295,2000,2000,
llama3.1:8b,baseline,BOLD,negative_regard_group_range,0.6358050196273932,43,43,
llama3.1:8b,baseline,BOLD,refusal_rate,0.001,2000,2000,
llama3.1:8b,baseline,RTP,mean_toxicity,0.06235118864642569,2000,2000,
llama3.1:8b,baseline,RTP,toxicity_rate,0.0515,2000,2000,
llama3.1:8b,baseline,RTP,refusal_rate,0.188,2000,2000,
llama3.1:8b,baseline,RTP,safe_and_useful_rate,0.7615,2000,2000,
llama3.1:8b,baseline,StereoSet,choice_parse_rate,1.0,1000,1000,
llama3.1:8b,baseline,StereoSet,choice_refusal_rate,0.0,1000,1000,
llama3.1:8b,baseline,StereoSet,choice_LMS,89.5,1000,1000,
llama3.1:8b,baseline,StereoSet,choice_SS,65.58659217877096,1000,1000,
llama3.1:8b,baseline,StereoSet,adapted_choice_ICAT,61.599999999999994,1000,1000,
llama3.1:8b,safety,AdvGLUE,choice_parse_rate,1.0,738,738,
llama3.1:8b,safety,AdvGLUE,choice_refusal_rate,0.0,738,738,
llama3.1:8b,safety,AdvGLUE,adversarial_accuracy,0.5040650406504065,738,738,
llama3.1:8b,safety,AdvGLUE,accuracy_mnli,0.3140495867768595,121,121,
llama3.1:8b,safety,AdvGLUE,accuracy_mnli-mm,0.35185185185185186,162,162,
llama3.1:8b,safety,AdvGLUE,accuracy_qnli,0.6351351351351351,148,148,
llama3.1:8b,safety,AdvGLUE,accuracy_qqp,0.48717948717948717,78,78,
llama3.1:8b,safety,AdvGLUE,accuracy_rte,0.6790123456790124,81,81,
llama3.1:8b,safety,AdvGLUE,accuracy_sst2,0.6081081081081081,148,148,
llama3.1:8b,safety,BBQ,choice_parse_rate,1.0,2000,2000,
llama3.1:8b,safety,BBQ,choice_refusal_rate,0.0,2000,2000,
llama3.1:8b,safety,BBQ,accuracy_ambig,0.601,1000,1000,
llama3.1:8b,safety,BBQ,bias_score_ambig,0.04700000000000002,1000,1000,399.0
llama3.1:8b,safety,BBQ,accuracy_disambig,0.712,1000,1000,
llama3.1:8b,safety,BBQ,bias_score_disambig,0.014778325123152802,1000,1000,812.0
llama3.1:8b,safety,BOLD,mean_negative_regard,0.20333288904861546,2000,2000,
llama3.1:8b,safety,BOLD,negative_regard_group_range,0.6339915456313369,43,43,
llama3.1:8b,safety,BOLD,refusal_rate,0.0055,2000,2000,
llama3.1:8b,safety,RTP,mean_toxicity,0.020995572194078653,2000,2000,
llama3.1:8b,safety,RTP,toxicity_rate,0.0145,2000,2000,
llama3.1:8b,safety,RTP,refusal_rate,0.2485,2000,2000,
llama3.1:8b,safety,RTP,safe_and_useful_rate,0.739,2000,2000,
llama3.1:8b,safety,StereoSet,choice_parse_rate,1.0,1000,1000,
llama3.1:8b,safety,StereoSet,choice_refusal_rate,0.0,1000,1000,
llama3.1:8b,safety,StereoSet,choice_LMS,82.19999999999999,1000,1000,
llama3.1:8b,safety,StereoSet,choice_SS,61.0705596107056,1000,1000,
llama3.1:8b,safety,StereoSet,adapted_choice_ICAT,63.99999999999998,1000,1000,
qwen2.5:7b-instruct,baseline,AdvGLUE,choice_parse_rate,1.0,738,738,
qwen2.5:7b-instruct,baseline,AdvGLUE,choice_refusal_rate,0.0,738,738,
qwen2.5:7b-instruct,baseline,AdvGLUE,adversarial_accuracy,0.5772357723577236,738,738,
qwen2.5:7b-instruct,baseline,AdvGLUE,accuracy_mnli,0.5537190082644629,121,121,
qwen2.5:7b-instruct,baseline,AdvGLUE,accuracy_mnli-mm,0.46296296296296297,162,162,
qwen2.5:7b-instruct,baseline,AdvGLUE,accuracy_qnli,0.6081081081081081,148,148,
qwen2.5:7b-instruct,baseline,AdvGLUE,accuracy_qqp,0.6025641025641025,78,78,
qwen2.5:7b-instruct,baseline,AdvGLUE,accuracy_rte,0.691358024691358,81,81,
qwen2.5:7b-instruct,baseline,AdvGLUE,accuracy_sst2,0.6148648648648649,148,148,
qwen2.5:7b-instruct,baseline,BBQ,choice_parse_rate,1.0,2000,2000,
qwen2.5:7b-instruct,baseline,BBQ,choice_refusal_rate,0.0,2000,2000,
qwen2.5:7b-instruct,baseline,BBQ,accuracy_ambig,0.812,1000,1000,
qwen2.5:7b-instruct,baseline,BBQ,bias_score_ambig,0.03400000000000001,1000,1000,188.0
qwen2.5:7b-instruct,baseline,BBQ,accuracy_disambig,0.762,1000,1000,
qwen2.5:7b-instruct,baseline,BBQ,bias_score_disambig,0.0024875621890547706,1000,1000,804.0
qwen2.5:7b-instruct,baseline,BOLD,mean_negative_regard,0.20342087011877447,2000,2000,
qwen2.5:7b-instruct,baseline,BOLD,negative_regard_group_range,0.7140349641631474,43,43,
qwen2.5:7b-instruct,baseline,BOLD,refusal_rate,0.0,2000,2000,
qwen2.5:7b-instruct,baseline,RTP,mean_toxicity,0.09785815624697713,2000,2000,
qwen2.5:7b-instruct,baseline,RTP,toxicity_rate,0.0905,2000,2000,
qwen2.5:7b-instruct,baseline,RTP,refusal_rate,0.03,2000,2000,
qwen2.5:7b-instruct,baseline,RTP,safe_and_useful_rate,0.881,2000,2000,
qwen2.5:7b-instruct,baseline,StereoSet,choice_parse_rate,1.0,1000,1000,
qwen2.5:7b-instruct,baseline,StereoSet,choice_refusal_rate,0.0,1000,1000,
qwen2.5:7b-instruct,baseline,StereoSet,choice_LMS,92.30000000000001,1000,1000,
qwen2.5:7b-instruct,baseline,StereoSet,choice_SS,65.43878656554712,1000,1000,
qwen2.5:7b-instruct,baseline,StereoSet,adapted_choice_ICAT,63.800000000000026,1000,1000,
qwen2.5:7b-instruct,safety,AdvGLUE,choice_parse_rate,1.0,738,738,
qwen2.5:7b-instruct,safety,AdvGLUE,choice_refusal_rate,0.0,738,738,
qwen2.5:7b-instruct,safety,AdvGLUE,adversarial_accuracy,0.6111111111111112,738,738,
qwen2.5:7b-instruct,safety,AdvGLUE,accuracy_mnli,0.6942148760330579,121,121,
qwen2.5:7b-instruct,safety,AdvGLUE,accuracy_mnli-mm,0.48148148148148145,162,162,
qwen2.5:7b-instruct,safety,AdvGLUE,accuracy_qnli,0.6216216216216216,148,148,
qwen2.5:7b-instruct,safety,AdvGLUE,accuracy_qqp,0.5384615384615384,78,78,
qwen2.5:7b-instruct,safety,AdvGLUE,accuracy_rte,0.8024691358024691,81,81,
qwen2.5:7b-instruct,safety,AdvGLUE,accuracy_sst2,0.6081081081081081,148,148,
qwen2.5:7b-instruct,safety,BBQ,choice_parse_rate,1.0,2000,2000,
qwen2.5:7b-instruct,safety,BBQ,choice_refusal_rate,0.0,2000,2000,
qwen2.5:7b-instruct,safety,BBQ,accuracy_ambig,0.946,1000,1000,
qwen2.5:7b-instruct,safety,BBQ,bias_score_ambig,0.022000000000000023,1000,1000,54.0
qwen2.5:7b-instruct,safety,BBQ,accuracy_disambig,0.612,1000,1000,
qwen2.5:7b-instruct,safety,BBQ,bias_score_disambig,0.0015698587127157548,1000,1000,637.0
qwen2.5:7b-instruct,safety,BOLD,mean_negative_regard,0.16889543241349747,2000,2000,
qwen2.5:7b-instruct,safety,BOLD,negative_regard_group_range,0.592484875751931,43,43,
qwen2.5:7b-instruct,safety,BOLD,refusal_rate,0.0,2000,2000,
qwen2.5:7b-instruct,safety,RTP,mean_toxicity,0.05141747509510601,2000,2000,
qwen2.5:7b-instruct,safety,RTP,toxicity_rate,0.0465,2000,2000,
qwen2.5:7b-instruct,safety,RTP,refusal_rate,0.067,2000,2000,
qwen2.5:7b-instruct,safety,RTP,safe_and_useful_rate,0.8865,2000,2000,
qwen2.5:7b-instruct,safety,StereoSet,choice_parse_rate,1.0,1000,1000,
qwen2.5:7b-instruct,safety,StereoSet,choice_refusal_rate,0.0,1000,1000,
qwen2.5:7b-instruct,safety,StereoSet,choice_LMS,89.60000000000001,1000,1000,
qwen2.5:7b-instruct,safety,StereoSet,choice_SS,61.71875,1000,1000,
qwen2.5:7b-instruct,safety,StereoSet,adapted_choice_ICAT,68.60000000000001,1000,1000,
claude-haiku-4-5-20251001,baseline,BOLD,mean_within_item_generation_sd,0.0961288198200727,2000,2000,
claude-haiku-4-5-20251001,baseline,RTP,mean_within_item_generation_sd,0.07967433714816836,2000,2000,
claude-haiku-4-5-20251001,safety,BOLD,mean_within_item_generation_sd,0.06524058041842773,2000,2000,
claude-haiku-4-5-20251001,safety,RTP,mean_within_item_generation_sd,0.06928203230275509,2000,2000,
gpt-4.1-mini,baseline,BOLD,mean_within_item_generation_sd,0.06957070743734992,2000,2000,
gpt-4.1-mini,baseline,RTP,mean_within_item_generation_sd,0.03521836642056718,2000,2000,
gpt-4.1-mini,safety,BOLD,mean_within_item_generation_sd,0.054270925303824824,2000,2000,
gpt-4.1-mini,safety,RTP,mean_within_item_generation_sd,0.03146558967083461,2000,2000,
llama3.1:8b,baseline,BOLD,mean_within_item_generation_sd,0.14433756729740646,2000,2000,
llama3.1:8b,baseline,RTP,mean_within_item_generation_sd,0.089489291724392,2000,2000,
llama3.1:8b,safety,BOLD,mean_within_item_generation_sd,0.11691342951089924,2000,2000,
llama3.1:8b,safety,RTP,mean_within_item_generation_sd,0.10190232251196897,2000,2000,
qwen2.5:7b-instruct,baseline,BOLD,mean_within_item_generation_sd,0.07765361120600468,2000,2000,
qwen2.5:7b-instruct,baseline,RTP,mean_within_item_generation_sd,0.04849742261192857,2000,2000,
qwen2.5:7b-instruct,safety,BOLD,mean_within_item_generation_sd,0.06668395609140178,2000,2000,
qwen2.5:7b-instruct,safety,RTP,mean_within_item_generation_sd,0.03521836642056718,2000,2000,
